city_name,department_code,department_name,region_name,pop_total,pct_age_25_54,sunshine_hours_annual,avg_temp_jan,avg_temp_jul,rainfall_mm_annual,sunshine_norm,age_norm,rainfall_norm,composite_score,median_income,affluent_income,poverty_rate,affluent_norm,poverty_norm,pct_le_pen,pct_zemmour,pct_far_right,far_right_norm
Marseille,13,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2918391,37.825850953877904,2858,7.1,24.1,515,0.9708599857853589,0.3888753026619509,1,0.7865784294824366,22210,30250,179,0.26078028747433263,0.6755725190839694,26.25,10.77,37.019999999999996,0.22679045092838213
Aix-en-Provence,13,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2918391,37.825850953877904,2801,6.8,24,544,0.9303482587064676,0.3888753026619509,0.9685124864277959,0.7625786825987381,22210,30250,179,0.26078028747433263,0.6755725190839694,26.25,10.77,37.019999999999996,0.22679045092838213
Ajaccio,2A,Corse-du-Sud,Corse,160813.99999999997,38.534463500260344,2726,8.9,22.8,645,0.8770433546552949,0.4503234225965221,0.8588490770901194,0.7287386181139789,22350,29990,163,0.24743326488706366,0.7366412213740459,29.25,13.36,42.61,0.04144562334217505
Montpellier,34,Hérault,Occitanie,1188973,36.570946367652184,2668,7.2,24.1,629,0.835820895522388,0.280054864871926,0.87622149837133545,0.6640324195885499,21130,28500,187,0.17094455852156057,0.6450381679389313,25.95,9.04,34.989999999999995,0.2940981432360744
Paris,75,Paris,Île-de-France,4291811.999999998,44.87326962834699,1662,4.9,20.5,637,0.12082444918265814,1,0.8675352877307274,0.6627865789711286,28790,44650,154,1,0.7709923664122138,5.54,8.16,13.7,1
Beziers,34,Hérault,Occitanie,1188973,36.570946367652184,2600,7.4,24,600,0.7874911158493249,0.280054864871926,0.9077090119435396,0.6584183308882635,21130,28500,187,0.17094455852156057,0.6450381679389313,25.95,9.04,34.989999999999995,0.2940981432360744
Toulon,83,Var,Provence-Alpes-Côte d'Azur,1085189.0000000002,34.89027810726088,2899,8.5,24.1,665,1,0.1343138596329156,0.8371335504885994,0.6571491367071717,22320,29630,153,0.22895277207392198,0.7748091603053435,30.61,13.25,43.86,0
Toulouse,31,Haute-Garonne,Occitanie,1415757,40.47672978721626,2047,5.8,22.3,638,0.39445628997867804,0.618749189759454,0.8664495114006514,0.6265516637129278,23730,31680,133,0.33418891170431214,0.851145038167939,18.23,6.92,25.15,0.6203580901856764
Nice,06,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1097410,36.42990415615347,2724,8.3,23.6,767,0.8756218905472637,0.2678242336585003,0.7263843648208469,0.6232768296755369,22630,30870,162,0.2926078028747433,0.7404580152671756,NA,NA,NA,NA
Antibes,06,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1097410,36.42990415615347,2724,8.3,23.6,767,0.8756218905472637,0.2678242336585003,0.7263843648208469,0.6232768296755369,22630,30870,162,0.2926078028747433,0.7404580152671756,NA,NA,NA,NA
