No disposition,Date mutation,Valeur fonciere,Code departement,Code commune,Surface reelle bati,Nombre pieces principales,Surface terrain,Code postal,Commune,insee_code,target_city,ring,commune_name,date_mutation,year,month,quarter,No voie,Type de voie,Voie,n_parcels,prix_m2,has_land
000001,01/02/2021,144900,13,216,84,3,93,13016,MARSEILLE 16EME,13216,Marseille,0,Marseille 16e Arrondissement,2021-02-01,2021,2,1,7,TRA,FABRE,1,1725,TRUE
000001,01/02/2021,159000,13,215,75,3,427,13015,MARSEILLE 15EME,13215,Marseille,0,Marseille 15e Arrondissement,2021-02-01,2021,2,1,7,BD,FREZE,1,2120,TRUE
000001,01/02/2021,162500,34,172,54,2,218,34080,MONTPELLIER,34172,Montpellier,0,Montpellier,2021-02-01,2021,2,1,56,RUE,PAUL ELUARD,1,3009.259259259259,TRUE
000001,01/02/2021,215000,93,1,24,2,0,93300,AUBERVILLIERS,93001,Paris,1,Aubervilliers,2021-02-01,2021,2,1,29,RUE,FERRAGUS,1,8958.333333333334,FALSE
000001,01/02/2021,225000,31,555,106,5,144,31500,TOULOUSE,31555,Toulouse,0,Toulouse,2021-02-01,2021,2,1,12,RUE,FRANCOIS OULIE,1,2122.6415094339623,TRUE
000001,01/02/2021,240000,13,5,81,4,0,13400,AUBAGNE,13005,Marseille,1,Aubagne,2021-02-01,2021,2,1,11,LOT,PARC DES PLATANES,1,2962.962962962963,FALSE
000001,01/02/2021,240000,31,149,49,4,452,31770,COLOMIERS,31149,Toulouse,1,Colomiers,2021-02-01,2021,2,1,5,RUE,FRANCOIS LARRIEU,1,4897.959183673469,TRUE
000001,01/02/2021,282850,33,281,82,4,131,33700,MERIGNAC,33281,Bordeaux,1,Mérignac,2021-02-01,2021,2,1,235,AV,DES EYQUEMS,1,3449.390243902439,TRUE
000001,01/02/2021,302850,31,149,88,4,102,31770,COLOMIERS,31149,Toulouse,1,Colomiers,2021-02-01,2021,2,1,1,ALL,DE LA VENDEE,1,3441.4772727272725,TRUE
000001,01/02/2021,305000,93,48,39,2,0,93100,MONTREUIL,93048,Paris,1,Montreuil,2021-02-01,2021,2,1,59,RUE,JULES FERRY,1,7820.51282051282,FALSE
000001,01/02/2021,317500,33,281,74,4,503,33700,MERIGNAC,33281,Bordeaux,1,Mérignac,2021-02-01,2021,2,1,10,RUE,PAUL LANGEVIN,1,4290.540540540541,TRUE
000001,01/02/2021,319000,34,116,88,4,220,34790,GRABELS,34116,Montpellier,1,Grabels,2021-02-01,2021,2,1,135,RUE,DES CINSAULTS,1,3625,TRUE
000001,01/02/2021,325000,13,213,75,4,0,13013,MARSEILLE 13EME,13213,Marseille,0,Marseille 13e Arrondissement,2021-02-01,2021,2,1,19,IMP,DU GD CHAPITEAU,1,4333.333333333333,FALSE
000001,01/02/2021,335000,93,66,68,4,0,93200,SAINT-DENIS,93066,Paris,1,Saint-Denis,2021-02-01,2021,2,1,10,BD,DE LA LIBERATION,1,4926.470588235294,FALSE
000001,01/02/2021,340000,33,522,92,3,219,33400,TALENCE,33522,Bordeaux,1,Talence,2021-02-01,2021,2,1,14,RUE,VICTOR HUGO,1,3695.6521739130435,TRUE
000001,01/02/2021,346150,31,555,76,4,284,31500,TOULOUSE,31555,Toulouse,0,Toulouse,2021-02-01,2021,2,1,53,RUE,DE L ILIADE,1,4554.605263157895,TRUE
000001,01/02/2021,349000,34,247,142,7,830,34980,SAINT CLEMENT DE RIVIERE,34247,Montpellier,1,Saint-Clément-de-Rivière,2021-02-01,2021,2,1,23,RUE,DU ROUND DU BIOU,1,2457.7464788732395,TRUE
000001,01/02/2021,364200,13,208,21,1,111,13008,MARSEILLE 8EME,13208,Marseille,0,Marseille 8e Arrondissement,2021-02-01,2021,2,1,91,AV,JOSEPH VIDAL,1,17342.85714285714,TRUE
000001,01/02/2021,379000,69,81,106,5,303,69130,ECULLY,69081,Lyon,1,Écully,2021-02-01,2021,2,1,9,CHE,DU FORT,1,3575.4716981132074,TRUE
000001,01/02/2021,383450,33,318,91,4,328,33600,PESSAC,33318,Bordeaux,1,Pessac,2021-02-01,2021,2,1,4,RUE,GUIZOT,1,4213.736263736264,TRUE
000001,01/02/2021,385000,34,154,92,4,350,34130,MAUGUIO,34154,Montpellier,1,Mauguio,2021-02-01,2021,2,1,243,RUE,DE BRUXELLES,1,4184.782608695652,TRUE
000001,01/02/2021,395000,13,71,91,5,497,13170,LES PENNES MIRABEAU,13071,Marseille,1,Les Pennes-Mirabeau,2021-02-01,2021,2,1,9001,CHE,DU PAS DE LA MUE,1,4340.659340659341,TRUE
000001,01/02/2021,400000,33,63,66,3,289,33300,BORDEAUX,33063,Bordeaux,0,Bordeaux,2021-02-01,2021,2,1,97,RUE,MARSAN,1,6060.606060606061,TRUE
000001,01/02/2021,410000,13,212,90,4,0,13012,MARSEILLE 12EME,13212,Marseille,0,Marseille 12e Arrondissement,2021-02-01,2021,2,1,218,AV,DES CAILLOLS,1,4555.555555555556,FALSE
000001,01/02/2021,430000,13,208,88,5,0,13008,MARSEILLE 8EME,13208,Marseille,0,Marseille 8e Arrondissement,2021-02-01,2021,2,1,60,TRA,PARANGON,1,4886.363636363636,FALSE
000001,01/02/2021,434400,31,69,108,4,600,31700,BLAGNAC,31069,Toulouse,1,Blagnac,2021-02-01,2021,2,1,5,IMP,DU PAOUR,1,4022.222222222222,TRUE
000001,01/02/2021,450000,69,259,98,4,673,69200,VENISSIEUX,69259,Lyon,1,Vénissieux,2021-02-01,2021,2,1,22,ALL,DES CERISIERS,1,4591.836734693878,TRUE
000001,01/02/2021,496190.47,33,63,90,5,125,33000,BORDEAUX,33063,Bordeaux,0,Bordeaux,2021-02-01,2021,2,1,131,RUE,MONDENARD,1,5513.227444444444,TRUE
000001,01/02/2021,505000,13,5,120,4,585,13400,AUBAGNE,13005,Marseille,1,Aubagne,2021-02-01,2021,2,1,13,AV,DU ROSIER,1,4208.333333333333,TRUE
000001,01/02/2021,513610,34,154,100,5,225,34130,MAUGUIO,34154,Montpellier,1,Mauguio,2021-02-01,2021,2,1,564,ENC,DES OURSINS CARNON,1,5136.1,TRUE
000001,01/02/2021,530410,33,63,63,4,165,33800,BORDEAUX,33063,Bordeaux,0,Bordeaux,2021-02-01,2021,2,1,27,RUE,PASCAL MOTHES,1,8419.20634920635,TRUE
000001,01/02/2021,540500,33,522,50,3,149,33400,TALENCE,33522,Bordeaux,1,Talence,2021-02-01,2021,2,1,24,RUE,DE COULMIERS,1,10810,TRUE
000001,01/02/2021,546100,13,205,65,4,259,13005,MARSEILLE 5EME,13205,Marseille,0,Marseille 5e Arrondissement,2021-02-01,2021,2,1,18,RUE,YVES LARIVEN,1,8401.538461538461,TRUE
000001,01/02/2021,590000,33,281,120,4,655,33700,MERIGNAC,33281,Bordeaux,1,Mérignac,2021-02-01,2021,2,1,7,RUE,FRANCISCO FERRER,2,4916.666666666667,TRUE
000001,01/02/2021,620000,13,5,120,6,4013,13400,AUBAGNE,13005,Marseille,1,Aubagne,2021-02-01,2021,2,1,81,IMP,DES ROSSIGNOLS,3,5166.666666666667,TRUE
000001,01/02/2021,805850,33,63,108,6,154,33200,BORDEAUX,33063,Bordeaux,0,Bordeaux,2021-02-01,2021,2,1,9,RUE,DE SOULAC,1,7461.574074074074,TRUE
000001,01/02/2021,891950,31,555,133,5,140,31000,TOULOUSE,31555,Toulouse,0,Toulouse,2021-02-01,2021,2,1,12,RUE,DU CAPITAINE ESCUDIE,1,6706.390977443609,TRUE
000001,01/02/2021,900000,94,33,80,5,262,94120,FONTENAY-SOUS-BOIS,94033,Paris,1,Fontenay-sous-Bois,2021-02-01,2021,2,1,14,RUE,DE ROSNY,1,11250,TRUE
000001,01/02/2021,940000,69,266,70,5,401,69100,VILLEURBANNE,69266,Lyon,1,Villeurbanne,2021-02-01,2021,2,1,32,RUE,DES ALLIES,1,13428.57142857143,TRUE
000001,01/02/2021,1000000,92,12,225,5,195,92100,BOULOGNE-BILLANCOURT,92012,Paris,1,Boulogne-Billancourt,2021-02-01,2021,2,1,6,RUE,EMILE DUNOIS,1,4444.444444444444,TRUE
000001,01/02/2021,1720420,92,73,200,8,0,92150,SURESNES,92073,Paris,1,Suresnes,2021-02-01,2021,2,1,13,RUE,DES PUITS,1,8602.1,FALSE
000001,01/02/2022,99000,13,206,36,2,0,13006,MARSEILLE 6EME,13206,Marseille,0,Marseille 6e Arrondissement,2022-02-01,2022,2,1,5,RUE,DU CAMBODGE,1,2750,FALSE
000001,01/02/2022,149200,33,63,29,2,24,33800,BORDEAUX,33063,Bordeaux,0,Bordeaux,2022-02-01,2022,2,1,160,RUE,BILLAUDEL,1,5144.827586206897,TRUE
000001,01/02/2022,164000,33,63,52,3,55,33300,BORDEAUX,33063,Bordeaux,0,Bordeaux,2022-02-01,2022,2,1,8,RUE,LARTIGUE,1,3153.846153846154,TRUE
