Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,insee_code,target_city,ring,commune_name,date_mutation,year,month,quarter
NA,NA,NA,NA,NA,NA,NA,000001,02/07/2020,Vente,155000,5012,F,CHE,8253,ST ANTOINE A ST JOSEPH,13015,MARSEILLE 15EME,13,215,898,E,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,30,2,S,NA,330,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-02,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,07/07/2020,Vente,140000,52,NA,CR,3586,DE FONTAINIEU,13014,MARSEILLE 14EME,13,214,895,H,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,49,3,S,NA,228,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-07,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,02/07/2020,Vente,230000,54,NA,TRA,8964,TENERIFFE,13016,MARSEILLE 16EME,13,216,911,I,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,59,3,S,NA,177,13216,Marseille,0,Marseille 16e Arrondissement,2020-07-02,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,02/07/2020,Vente,140000,52,NA,CHE,6083,DE MIMET,13015,MARSEILLE 15EME,13,215,904,B,184,NA,2,58.53,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Maison,NA,53,4,NA,NA,NA,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-02,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,09/07/2020,Vente,255000,9,NA,NA,A398,LES HAUTS DE SAINT BARTH,13014,MARSEILLE 14EME,13,214,894,D,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,88,4,S,NA,425,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-09,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,03/07/2020,Vente,152000,60,NA,TRA,5840,MARTIN,13016,MARSEILLE 16EME,13,216,910,I,15,NA,5,42.06,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Maison,NA,46,3,NA,NA,NA,13216,Marseille,0,Marseille 16e Arrondissement,2020-07-03,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,06/07/2020,Vente,375000,26,NA,AV,5293,DES LILAS,13014,MARSEILLE 14EME,13,214,893,B,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,72,4,S,NA,407,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-06,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,08/07/2020,Vente,160000,6,NA,TSSE,5999,MERLIN,13015,MARSEILLE 15EME,13,215,904,L,120,NA,2,54.34,3,54.34,NA,NA,NA,NA,NA,NA,2,1,Maison,NA,70,2,NA,NA,NA,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-08,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,07/07/2020,Vente,100000,22,NA,MTE,9268,DES USINES,13016,MARSEILLE 16EME,13,216,909,D,205,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Maison,NA,50,3,NA,NA,NA,13216,Marseille,0,Marseille 16e Arrondissement,2020-07-07,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,17/07/2020,Vente,462100,206,NA,CHE,6498,DE LA NERTHE,13016,MARSEILLE 16EME,13,216,908,P,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,50,2,S,NA,1053,13216,Marseille,0,Marseille 16e Arrondissement,2020-07-17,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,24/07/2020,Vente,140000,59,NA,CHE,6405,DE MOZAMBIQUE,13016,MARSEILLE 16EME,13,216,911,L,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,70,3,S,NA,53,13216,Marseille,0,Marseille 16e Arrondissement,2020-07-24,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,27/07/2020,Vente,307000,37,NA,AV,6092,MINERVE,13015,MARSEILLE 15EME,13,215,907,I,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,64,3,S,NA,394,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-27,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,06/07/2020,Vente,88000,256,NA,AV,6459,DE ST ANTOINE,13015,MARSEILLE 15EME,13,215,904,B,55,NA,2,55,4,NA,NA,NA,NA,NA,NA,NA,2,1,Maison,NA,52,3,NA,NA,NA,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-06,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,10/07/2020,Vente,208500,17,NA,IMP,6931,PAUTRIER,13004,MARSEILLE 4EME,13,204,817,I,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,49,3,S,NA,153,13204,Marseille,0,Marseille 4e Arrondissement,2020-07-10,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,29/07/2020,Vente,260000,22,NA,RUE,0464,ARAMIS,13014,MARSEILLE 14EME,13,214,891,A,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,67,3,S,NA,149,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-29,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,10/07/2020,Vente,289000,15,NA,LOT,A164,LE CLOS DES GENETS,13016,MARSEILLE 16EME,13,216,911,O,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,83,4,S,NA,168,13216,Marseille,0,Marseille 16e Arrondissement,2020-07-10,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,20/07/2020,Vente,159900,35,NA,RUE,1325,BONNEVILLE,13015,MARSEILLE 15EME,13,215,905,L,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,68,3,S,NA,213,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-20,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,20/07/2020,Vente,150000,8,NA,TRA,4653,DU JASMIN,13015,MARSEILLE 15EME,13,215,904,C,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,62,23,S,NA,90,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-20,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,17/07/2020,Vente,242500,19,NA,AV,5733,MARIGNY,13014,MARSEILLE 14EME,13,214,893,E,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,64,4,S,NA,518,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-17,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,29/07/2020,Vente,225000,12,NA,BD,0812,DU BASSIN,13015,MARSEILLE 15EME,13,215,898,C,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,72,4,S,NA,525,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-29,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,29/07/2020,Vente,210000,56,NA,CHE,2901,DES DRAILLES,13015,MARSEILLE 15EME,13,215,903,A,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,65,3,S,NA,347,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-29,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,16/07/2020,Vente,265000,77,NA,BD,6590,N D DE SANTA CRUZ,13014,MARSEILLE 14EME,13,214,893,C,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,55,3,S,NA,669,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-16,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,04/08/2020,Vente,353500,7,NA,IMP,2828,LA DISCORDE,13015,MARSEILLE 15EME,13,215,897,B,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,96,5,S,NA,375,13215,Marseille,0,Marseille 15e Arrondissement,2020-08-04,2020,8,3
NA,NA,NA,NA,NA,NA,NA,000001,04/08/2020,Vente,353500,7,NA,IMP,2828,LA DISCORDE,13015,MARSEILLE 15EME,13,215,897,B,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,96,5,J,POTAG,1214,13215,Marseille,0,Marseille 15e Arrondissement,2020-08-04,2020,8,3
NA,NA,NA,NA,NA,NA,NA,000001,08/07/2020,Vente,278000,136,NA,AV,5989,DU MERLAN,13014,MARSEILLE 14EME,13,214,893,B,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,80,4,S,NA,148,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-08,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,20/07/2020,Vente,290000,40,NA,CHE,9362,DU VALLON DES MAYANS,13015,MARSEILLE 15EME,13,215,904,I,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,74,4,S,NA,1800,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-20,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,20/07/2020,Vente,290000,40,NA,CHE,9362,DU VALLON DES MAYANS,13015,MARSEILLE 15EME,13,215,904,I,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,74,4,L,NA,6600,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-20,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,06/07/2020,Vente,240000,17,NA,TRA,2123,DU CHARRON,13016,MARSEILLE 16EME,13,216,908,H,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,51,3,S,NA,126,13216,Marseille,0,Marseille 16e Arrondissement,2020-07-06,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,21/07/2020,Vente,41010,5,NA,AV,2679,DES DAHLIAS,13015,MARSEILLE 15EME,13,215,905,N,1,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Maison,NA,20,1,NA,NA,NA,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-21,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,10/07/2020,Vente,279850,39,NA,BD,4693,JEAN BOUIN,13014,MARSEILLE 14EME,13,214,896,K,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,96,4,S,NA,708,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-10,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,03/07/2020,Vente,250000,19,NA,ALL,4359,HAUTE RIVE,13014,MARSEILLE 14EME,13,214,894,D,118,NA,10,85.17,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Maison,NA,88,4,NA,NA,NA,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-03,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,20/07/2020,Vente,146000,135,NA,AV,6464,DE LA VISTE,13015,MARSEILLE 15EME,13,215,907,E,15,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,Maison,NA,81,5,NA,NA,NA,13215,Marseille,0,Marseille 15e Arrondissement,2020-07-20,2020,7,3
NA,NA,NA,NA,NA,NA,NA,000001,31/07/2020,Vente,150000,18,NA,RUE,1768,DE LA CARRIERE,13014,MARSEILLE 14EME,13,214,891,D,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Maison,NA,75,3,S,NA,200,13214,Marseille,0,Marseille 14e Arrondissement,2020-07-31,2020,7,3
